代號,名稱,市場
0050,元大台灣50,上市
0051,元大中型100,上市
0052,富邦科技,上市
0053,元大電子,上市
0054,元大台商50,上市
0055,元大MSCI金融,上市
0056,元大高股息,上市
0057,富邦摩台,上市
0058,富邦發達,上市
0059,富邦金融,上市
0060,元大新台灣,上市
006201,元大富櫃50,上櫃
006203,元大MSCI台灣,上市
006204,永豐台灣加權,上市
006208,富邦台灣50,上市
00625K,富邦台灣深証,上市
00628B,元大中國債3-5,上市
00631L,元大台灣50正2,上市
00632R,元大台灣50反1,上市
00633L,富邦台灣加權正2,上市
00634R,富邦台灣加權反1,上市
00636,國泰臺灣加權,上市
00637L,元大滬深300正2,上市
00638R,元大滬深300反1,上市
00639,富邦深100,上市
00642U,元大S&P原油正2,上市
00643K,群益深証中小,上市
00645,富邦日本,上市
00646,元大S&P500,上市
00647L,元大美國正2,上市
00648R,元大美國反1,上市
00649,凱基新興市場,上市
00650L,富邦NASDAQ正2,上市
00651,富邦印度,上市
00652,富邦歐洲,上市
00653L,富邦上証180正2,上市
00654R,富邦上証180反1,上市
00655B,國泰20年美債,上市
00657,國泰日本正2,上市
00658,國泰美國道瓊,上市
00660,富邦歐洲正2,上市
00661,元大日本正2,上市
00662,富邦NASDAQ,上市
00663L,國泰臺灣加權正2,上市
00664R,國泰臺灣加權反1,上市
00665L,富邦恒生國企正2,上市
00666R,富邦恒生國企反1,上市
00668,國泰美國道瓊正2,上市
00669R,國泰美國道瓊反1,上市
00670L,富邦NASDAQ正2,上市
00672L,元大S&P黃金正2,上市
00673R,元大S&P黃金反1,上市
00674R,元大S&P石油反1,上市
00675L,富邦臺灣加權正2,上市
00676L,元大S&P銀行正2,上市
00677U,富邦VIX,上市
00678,富邦中国政策銀行債,上市
00679B,元大美國政府20年,上市
00680L,元大美國政府20年正2,上市
00681B,元大新興市場美元主權債,上市
00682B,富邦彭博高評級公司債,上市
00683L,富邦美國政府20年正2,上市
00684R,富邦美國政府20年反1,上市
00685L,群益臺灣加權正2,上市
00686R,群益臺灣加權反1,上市
00687B,國泰10年IG債,上市
00688B,國泰20年美債,上市
00690,兆豐藍籌30,上市
00691,群益深証中小正2,上市
00692,富邦公司債,上市
00693B,街口美國政府7-10年,上市
00694B,凱基美國政府7-10年,上市
00695B,街口10年IG債,上市
00696B,富邦中国政策銀行債,上市
00697B,元大10年IG債,上市
00698,立昂台灣高息利率優選,上市
00700,富邦台灣品質成長,上市
00701,國泰標普低波動高息,上市
00702,國泰MSCI中國,上市
00706L,元大黃金正2,上市
00707,元大MSCI亞太高股息,上市
00708L,元大台灣ESG永續正2,上市
00710B,復華10年IG美元債,上市
00711B,凱基美國政府10年,上市
00712,復華富時高息低波,上市
00713,元大台灣高息低波,上市
00714B,群益15年IG科技債,上市
00715L,富邦日本正2,上市
00716R,富邦日本反1,上市
00717,富邦美國特別股,上市
00718B,國泰10年IG債,上市
00719B,元大美國公司債,上市
00720B,元大投資級公司債,上市
00721B,元大電信債,上市
00722B,群益AAA到AA公司債,上市
00723B,群益15年IG金融債,上市
00724B,群益15年美元科技債,上市
00725B,國泰15年IG科技債,上市
00726B,國泰1-5年高評級公司債,上市
00727B,國泰2年美債,上市
00728B,國泰彭博美國高收益1-5年,上市
00730,富邦台灣優質高息,上市
00731,復華富時不動產,上市
00733,富邦臺灣中小,上市
00735,國泰MSCI世界,上市
00736,國泰台韓科技,上市
00737,台新MSCI中國,上市
00738,日盛台灣ESG永續,上市
00739,台新台灣IC設計,上市
00740,野村台灣科技,上市
00741,台新台灣高息動能,上市
00742B,新光A級公司債,上市
00743B,新光15年IG科技債,上市
00744B,新光15年IG金融債,上市
00745B,新光投資級公司債,上市
00746B,新光彭博美國1-5年,上市
00747,元大MSCI金融,上市
00748B,第一金10年A級公司債,上市
00749B,復華1至3年美元公司債,上市
00750B,復華3至7年美元投資級,上市
00751B,復華15年IG金融債,上市
00752B,國泰彭博美國高評級公司債,上市
00753B,凱基15年以上A級公司債,上市
00754B,凱基15年IG金融債,上市
00755B,台新15年IG科技債,上市
00756B,台新彭博1-3年美國政府債,上市
00757,統一FANG+,上市
00758B,永豐15年IG科技債,上市
00759B,永豐彭博1-3年美國政府,上市
00760B,永豐15年IG金融債,上市
00761B,群益7年IG科技債,上市
00762B,復華彭博20年以上BBB公司債,上市
00763B,群益15年IG電信債,上市
00764B,凱基投資級公司債,上市
00765B,凱基A級公司債,上市
00766B,凱基電信債,上市
00767B,凱基2年美債,上市
00768B,凱基彭博1-3年美國政府債,上市
00770B,野村彭博美國高評級公司債,上市
00771,元大歐洲高息50,上市
00772B,中信高評級公司債,上市
00773B,中信優先順位高收益債,上市
00774B,凱基15年IG科技債,上市
00775B,新光美國1-5年公司債,上市
00776B,街口美國政府20年,上市
00777,野村台灣ESG永續,上市
00778B,凱基15年IG電信債,上市
00779B,街口7-10年IG公司債,上市
00780B,街口15年IG公司債,上市
00781B,街口15年IG科技債,上市
00782,中信臺灣智慧50,上市
00783,富邦台灣半導體,上市
00784B,富邦彭博優質中短債,上市
00785B,凱基15年BBB科技債,上市
00786B,日盛A級公司債,上市
00787,富邦基本面台灣,上市
00788,富邦台灣ESG,上市
00793,群益半導體收益,上市
00795B,新光彭博美國中長期政府,上市
00796B,元大10年IG科技債,上市
00797B,元大7年IG科技債,上市
00798B,元大彭博美國投資級公司債,上市
00799B,元大彭博AAA至A公司債,上市
00820B,國泰彭博美國優先順位浮動,上市
00821B,國泰彭博短期美國政府,上市
00822B,復華彭博美國高評級公司債,上市
00823,群益台灣ESG低碳50,上市
00830,國泰費城半導體,上市
00831,第一金太空衛星,上市
00832,凱基台灣高息優選,上市
00833,第一金低碳50,上市
00834,野村臺灣運籌龍頭30,上市
00835,元大銀行保險ETF,上市
00836,街口台灣6G+,上市
00837,台新臺灣IC設計,上市
00838,第一金AI金融科技,上市
00840,元大全球品牌50,上市
00841,永豐ESG低波高息,上市
00842B,群益投資級金融債,上市
00843B,群益15年IG電信債,上市
00844B,日盛金融債,上市
00850,元大臺灣ESG永續,上市
00851,中信關鍵半導體,上市
00852,元大歐洲銀行,上市
00853,中信電池及儲能,上市
00861,元大全球AI,上市
00862,中信MSCI台灣,上市
