代號,名稱,市場
1336,台翰,櫃
1471,首利,市
1582,信錦,市
1595,川寶,櫃
1815,富喬,櫃
2059,川湖,市
2308,台達電,市
2313,華通,市
2316,楠梓電,市
2327,國巨*,市
2328,廣宇,市
2355,敬鵬,市
2367,燿華,市
2368,金像電,市
2375,凱美,市
2383,台光電,市
2385,群光,市
2392,正崴,市
2402,毅嘉,市
2413,環科,市
2415,錩新,市
2420,新巨,市
2421,建準,市
2428,興勤,市
2431,聯昌,市
2440,太空梭,市
2457,飛宏,市
2460,建通,市
2462,良得電,市
2467,志聖,市
2472,立隆電,市
2476,鉅祥,市
2478,大毅,市
2483,百容,市
2484,希華,市
2492,華新科,市
2493,揚博,市
3003,健和興,市
3011,今皓,市
3015,全漢,市
3021,鴻名,市
3023,信邦,市
3026,禾伸堂,市
3032,偉訓,市
3037,欣興,市
3042,晶技,市
3044,健鼎,市
3058,立德,市
3078,僑威,櫃
3090,日電貿,市
3092,鴻碩,市
3114,好德,櫃
3115,富榮綱,櫃
3191,雲嘉南,櫃
3206,志豐,櫃
3207,耀勝,櫃
3217,優群,櫃
3229,晟鈦,市
3236,千如,櫃
3276,宇環,櫃
3288,點晶,櫃
3290,東浦,櫃
3294,英濟,櫃
3296,勝德,市
3308,聯德,市
3310,佳穎,櫃
3321,同泰,市
3322,建舜電,櫃
3332,幸康,櫃
3338,泰碩,市
3354,律勝,櫃
3357,臺慶科,櫃
3376,新日興,市
3388,崇越電,櫃
3390,旭軟,櫃
3432,台端,市
3484,崧騰,櫃
3492,長盛,櫃
3501,維熹,市
3511,矽瑪,櫃
3520,華盈,櫃
3526,凡甲,櫃
3533,嘉澤,市
3537,堡達,櫃
3548,兆利,櫃
3550,聯穎,市
3593,力銘,市
3597,映興,櫃
3605,宏致,市
3607,谷崧,市
3609,三一東林,櫃
3624,光頡,櫃
3631,晟楠,櫃
3645,達邁,市
3646,艾恩特,櫃
3653,健策,市
3679,新至陞,市
3689,湧德,櫃
3710,連展投控,櫃
3715,定穎投控,市
4542,科嶠,櫃
4545,銘鈺,市
4912,聯德控股-KY,市
4915,致伸,市
4927,泰鼎-KY,市
4939,亞電,櫃
4943,康控-KY,市
4958,臻鼎-KY,市
4974,亞泰,櫃
4989,榮科,市
4999,鑫禾,市
5227,立凱-KY,櫃
5228,鈺鎧,櫃
5291,邑昇,櫃
5309,系統電,櫃
5328,華容,櫃
5340,建榮,櫃
5355,佳總,櫃
5381,光譜,櫃
5439,高技,櫃
5457,宣德,櫃
5460,同協,櫃
5464,霖宏,櫃
5469,瀚宇博,市
5475,德宏,櫃
5488,松普,櫃
5498,凱崴,櫃
6108,競國,市
6114,久威,櫃
6115,鎰勝,市
6124,業強,櫃
6126,信音,櫃
6127,九豪,櫃
6133,金橋,市
6134,萬旭,櫃
6141,柏承,市
6153,嘉聯益,市
6155,鈞寶,市
6156,松上,櫃
